name	n_hab_planets	n_stars	n_planets	discovery_method	temperature	metalicity	radius	period	declination	eccentricity	
HAT-P-51	0	1	1	transit	1192	None	1.293	4.2180278	+32 48 38.8		
HAT-P-52	0	1	1	transit	1218	None	1.009	2.7535953	+29 01 20.6		
HAT-P-53	0	1	1	transit	1778	None	1.318	1.9616241	+38 58 05.3		
HAT-P-54	0	1	1	transit	818	None	0.944	None	-25 28 57		
HAT-P-5	0	1	1	transit	1387.4	None	1.252	2.788491	+36 37 18	0.0	
HAT-P-6	0	1	1	transit	1529.9	None	1.33	3.853003	+42 27 58	0.0	
HAT-P-7	0	2	1	transit	2733	None	1.4588	2.204737	+47 58 10	0.0	
HAT-P-8	0	3	1	transit	1713	None	1.321	3.0763402	+35 26 50	0.0	
HAT-P-9	0	1	1	transit	1397.3	None	1.4	3.922814	+37 08 26	0.0	
HATS-10	0	1	1	transit	1407	None	0.969	3.3128460	-22 12 16.1	None	
HATS-13	0	1	1	transit	1244	None	1.212	3.0440499	-26 05 48.0	None	
HATS-14	0	1	1	transit	1276	None	1.039	2.7667641	-25 41 14.4	None	
HATS-1	0	1	1	transit	1250.3	None	1.302	3.446459	-23 21 17	0.12	
HATS-2	0	1	1	transit	1577	None	1.168	1.354133	-22 21 46	0.0	
HATS-3	0	1	1	transit	1816	None	1.697	3.547849	-24 25 44	0.253	
HATS-4	0	1	1	transit	1315	None	1.020	2.516729	-22 32 48.79	0.016	
HATS-5	0	1	1	transit	1025	None	0.912	4.763387	-21 28 54.90	None	
HATS-6	0	1	1	transit	712.8	None	0.998	3.3252725	-19 01 54	None	
HATS-9	0	1	1	transit	1823	None	1.065	1.9153073	-20 09 58.7	None	
HD_100546	0	1	2	imaging	1028	None	6	None	-70 11 41	None	
HD_100546	0	1	2	None	None	None	None	None	-70 11 41	None	
HD_100655	0	1	1	RV	749.4	None	None	157.57	+20 26 30	0.085	
HD_100777	1	1	1	RV	259.7	None	None	383.7	-04 45 21	0.36	
HD_10180	1	1	9	RV	1915.3	None	None	1.17766	-60 30 42	0.05	
HD_10180	1	1	9	RV	1128.3	None	None	5.75973	-60 30 42	0.07	
HD_10180	1	1	9	RV	950.0	None	None	9.655	-60 30 42	0.05	
HD_10180	1	1	9	RV	796.3	None	None	16.354	-60 30 42	0.11	
HD_10180	1	1	9	RV	549.9	None	None	49.75	-60 30 42	0.01	
HD_10180	1	1	9	RV	497.2	None	None	67.55	-60 30 42	0.07	
HD_10180	1	1	9	RV	406.5	None	None	122.88	-60 30 42	0.13	
HD_10180	1	1	9	RV	239.0	None	None	596	-60 30 42	0.03	
HD_10180	1	1	9	RV	154.9	None	None	2300	-60 30 42	0.18	
HD_101930	0	1	1	RV	385.4	None	None	70.46	-58 00 24	0.11	
HD_102117	0	1	1	RV	719.6	None	None	20.67	-58 42 13	0.106	
HD_102195	0	1	1	RV	963.1	None	None	4.113775	+02 49 17	0.0	
HD_102272	0	1	2	RV	877.6	None	None	127.58	+14 07 26	0.05	
HD_102272	0	1	2	RV	530.8	None	None	520	+14 07 26	0.68	
HD_102329	0	1	1	RV	376.0	None	None	778.1	+03 28 27	0.211	
HD_102365	0	1	1	RV	355.1	None	None	122.1	-40 30 01	0.34	
HD_102956	0	1	1	RV	1642.2	None	None	6.495	+57 38 27	0.048	
HD_103197	0	1	1	RV	409.7	None	None	47.84	-50 17 34	0.0	
HD_103720	0	1	1	RV	None	None	None	4.5557	-02 46 44.24	0.086	
HD_103774	0	1	1	RV	1310.9	None	None	5.8881	-12 06 28	0.09	
HD_104067	0	1	1	RV	363.2	None	None	55.806	-20 21 14	0.0	
HD_10442	1	1	1	RV	None	None	None	1043	+02 42 15.77	0.11	
HD_104985	0	1	1	RV	787.7	None	None	198.2	+76 54 20	0.03	
HD_106252	0	1	1	RV	158.8	None	None	1600	+10 02 29	0.47	
HD_106270	0	1	1	RV	187.6	None	None	2890	-09 30 47	0.402	
HD_10647	1	1	1	RV	195.9	None	None	989.2	-53 44 27	0.15	
HD_106515_A	0	1	1	RV	None	None	None	3630	-07 15 26	0.572	
HD_106906	0	1	1	imaging	1800	None	None	None	-55 58 31.8890	None	
HD_10697	1	1	1	RV	221.8	None	None	1076.4	+20 04 59	0.1	
HD_107148	0	1	1	RV	537.4	None	None	48.056	-03 19 11	0.05	
HD_108147	0	1	1	RV	907.7	None	None	10.8985	-64 01 19	0.53	
HD_108341	0	1	1	RV	None	None	None	1129	-71 25 22.70	0.85	
HD_108863	0	1	1	RV	436.8	None	None	443.4	+21 56 54	0	
