mass        radius
1.637        1.171
0.514        0.86
2.06        1.24
0.57        1.39
0.38        1.43
1.271        1.271
1.55        1.112
2.32        1.39
0.42        1.4
0.95        1.24
0.26        1.057
0.503        1.224
0.59        1.164
2.242        1.46
1.410        1.01
1.88        1.16
0.95        1.56
1.07        1.270
0.92        1.83
1.76        1.21
1.16        1.75
0.90        1.70
0.96        1.33
0.554        0.952
1.24        1.67
0.30        1.04
0.700        0.975
1.22        1.48
2.18        1.385
0.56        1.7
5.9        1.04
2.244        1.038
0.63        1.63
0.452        1.72
0.618        None
1.13        1.21
0.48        1.2
1.32        1.13
0.83        1.1
2.78        1.1
8        None
4.01        1.49
1.12        1.363
        None
0.9        1.184
0.259        None
1.370        None
0.597        0.973
        None
11.79        1.217
1.72        1.34
1.077        1.03
0.34        None
0.4        None
